Brand,Clean
!!1000,unknown
!!haneul!!1000,haneul
10k,unknown
10werun,10werun
3m,3m
4,unknown
7seven,7seven
7seven®,7seven
abode,abode
acer,acer
activa,activa
agaro,agaro
aine,aine
aircase,aircase
airtel,airtel
akiara,akiara
akiara®,akiara
allin,allin
amazfit,amazfit
amazon,amazon
amazonbasics,amazonbasics
ambrane,ambrane
american,american micronic
amkette,amkette
amozo,amozo
anjaney,anjaney
ant,ant esports
ao,ao smith
apc,apc
apsara,apsara
aqua,aquadpure
aquadpure,aquadpure
aquaguard,aquaguard
aquasure,aquaguard
artis,artis
astigo,astigo
atom,atom
atomberg,atomberg
avnish,avnish
bajaj,bajaj
balzano,balzano
beatxp,beatxp
belkin,belkin
bestor,bestor
bestor®,bestor
black,black+decker
black+decker,black+decker
bluerigger,bluerigger
boat,boat
borosil,borosil
bosch,bosch
boult,boult
boya,boya
brand,brand conquer
brayden,brayden
brustro,brustro
bulfyss,bulfyss
butterfly,butterfly
c,c (device)
cablecreation,cablecreation
cablet,cablet
cafe,café jei
caldipree,caldipree
callas,callas
camel,camel
camlin,camlin
campfire,spring chef
candes,candes
canon,canon
caprigo,caprigo
cardex,cardex
carecase®,carecase
casio,casio
cedo,cedo
cello,cello
classmate,classmate
coi,coi
cookwell,cookwell
cotbolt,cotbolt
coway,coway
cp,cp
croma,croma
crompton,crompton
crossvolt,crossvolt
crucial,crucial
crypo™,crypo
csi,csi
cubetek,cubetek
cuzor,cuzor
d-link,d-link
dealfreez,dealfreez
dell,dell
demokrazy,demokrazy
digitek,digitek
digitek®,digitek
dr,dr
duracell,duracell
dyazo,dyazo
dynore,dynore
e-cosmos,e-cosmos
eco,eco crystal
ecovacs,ecovacs
egate,egate
electvision,electvision
elv,elv
empty,empty
en,en ligne
enem,enem
envie,envie
envie®,envie
eopora,eopora
epson,epson
esn,esn
esnipe,esnipe
esquire,esquire
esr,esr
eureka,eureka
eveready,eveready
eynk,eynk
faber-castell,faber-castell
fabware,fabware
fedus,fedus
figment,figment
fire-boltt,fire-boltt
firestick,unknown
flix,flix
foxin,foxin
fujifilm,fujifilm
fya,fya
gadgetronics,gadgetronics
generic,generic
gilary,gilary
gilton,gilton
gizga,gizga
glen,glen
glun,glun
goldmedal,goldmedal
goodscity,goodscity
green,green tales
havells,havells
hb,hb plus
healthsense,healthsense
heart,heart home
hi-mobiler,hi-mobiler
hilton,hilton
hindware,hindware
hisense,hisense
homeistic,homeistic
homepack,homepack
house,house
hp,hp
hul,hul
humble,humble
ibell,ibell
iffalcon,iffalcon
ikea,ikea
imou,imou
inalsa,inalsa
indias®™,indias
infinity,infinity
inkulture,inkulture
inovera,inovera
instacuppa,instacuppa
instant,instant
inventis,inventis
ionix,ionix
iphone,unknown
iqoo,iqoo
irusu,irusu
isoelite,isoelite
it2m,it2m
jbl,jbl
jialto,jialto
jm,jm
kanget,kanget
karbonn,karbonn
karcher,karcher
kenstar,kenstar
kent,kent
khaitan,khaitan
king,king shine
kingone,kingone
kingston,kingston
kitchen,kitchen
kitchengenix's,kitchengenix
kitchenwell,kitchenwell
klam,klam
knowza,knowza
knyuc,knyuc
kodak,kodak
konvio,konvio
krisons,krisons
kuber,kuber
kyosei,kyosei
lacopine,lacopine
lapster,lapster
larrito,larrito
lava,lava
lenovo,lenovo
lg,lg
libra,libra
lifelong,lifelong
lint,unknown
liramark,liramark
livpure,livpure
logitech,logitech
lohaya,lohaya
lonaxa,lonaxa
longway,longway
lripl,lripl
ls,ls lapster
luminous,luminous
"lunagariya®,",lunagariya
luxor,luxor
macmillan,macmillan
maharaja,maharaja
maono,maono
melbon,melbon
memeho®,memeho
mi,mi
milk,unknown
milton,milton
mobilife,mobilife
model-p4,unknown
monitor,monitor
morphy,morphy
motorola,motorola
mr.,mr. brand
multifunctional,multifunctional
myvn,myvn
newly,newly
nexoms,nexoms
ngi,ngi
nirdambhay,nirdambhay
nk,nk star
noir,noir aqua
noise,noise
noise_colorfit,noise
nokia,nokia
nutripro,nutripro
oakter,oakter
offbeat®,offbeat
ofixo,ofixo
oneplus,oneplus
opentech®,opentech
oppo,oppo
oraimo,oraimo
oratech,oratech
orico,orico
orient,orient
orpat,orpat
pajaka®,pajaka
panasonic,panasonic
parker,parker
pc,pc square
pentonic,pentonic
personal,personal
philips,philips
pick,pick ur needs
pidilite,pidilite
pigeon,pigeon
pilot,pilot
pinnaclz,pinnaclz
poco,poco
popio,popio
portable,unknown
"portable,",unknown
portronics,portronics
posh,posh
preethi,preethi
prestige,prestige
prettykrafts,prettykrafts
pro365,pro365
proelite,proelite
prolegend®,prolegend
prolet,prolet
proven®,proven
prushti,prushti
ptron,ptron
quantum,quantum
qubo,qubo
r,r b nova
racold,racold
raffles,raffles
rc,rc print
realme,realme
redgear,redgear
redmi,redmi
redragon,redragon
redtech,redtech
reffair,reffair
remote,trend trail
resonate,resonate
rico,rico
robustrion,robustrion
room,unknown
royal,royal step
rpm,rpm
rts,rts
rts™,rts
saiellin,saiellin
saifsmart,saifsmart
saiyam,saiyam
saleon,saleon
saleon™,saleon
samsung,samsung
sandisk,sandisk
sansui,sansui
scarters,scarters
seagate,seagate
sennheiser,sennheiser
shakti,shakti
shopoflux,shopoflux
shoptoshop,shoptoshop
shreenova,shreenova
silicone,silicone
simxen,simxen
singer,singer
skadioo,skadioo
ske,ske
skytone,skytone
skywall,skywall
slovic®,slovic
smashtronics®,smashtronics
soflin,soflin
solidaire,solidaire
sonivision,sonivision
sony,sony
sounce,sounce
spigen,spigen
storio,storio
storite,storite
striff,striff
stylehouse,stylehouse
sui,sui generis
sujata,sujata
supcares,supcares
sure,aquaguard
svm,svm
swapkart,swapkart
swiffer,swiffer
swiss,swiss military
syncwire,syncwire
synqe,synqe
syska,syska
syvo,syvo
t,t topline
tabelito®,tabelito
table,table magic
tarkan,tarkan
tata,tata
tcl,tcl
technotech,technotech
tecno,tecno
tesora,tesora
te™,te
themisto,themisto
time,time office
tizum,tizum
tokdis,tokdis
tom,unknown
tosaa,tosaa
toshiba,toshiba
tp-link,tp-link
ttk,ttk
tuarso,tuarso
tukzer,tukzer
tvara,tvara
tygot,tygot
universal,unknown
urbn,urbn
usb,oraimo
usha,usha
v-guard,v-guard
vapja®,vapja
vedini,vedini
venus,venus
verilux®,verilux
vr,vr
vrprime,vrprime
vu,vu
vw,vw
wacom,wacom
wanbo,wanbo
wayona,wayona
wecool,wecool
wembley,wembley
western,western digital
white,white feather
widewings,widewings
wings,wings
wipro,wipro
wolpin,wolpin
wonderchef,wonderchef
wzatco,wzatco
xiaomi,xiaomi
zebronics,zebronics
"zebronics,",zebronics
zigma,zigma
zinq,zinq
zodo,zodo
zorbes®,zorbes
zoul,zoul
zuvexa,zuvexa
